id,item_id,category_name,最大月銷量,最小月銷量,update_time
195,765730700,耳機喇叭,4,4,2018-04-11
196,92988274,耳機喇叭,4,4,2018-04-11
197,55818642,耳機喇叭,4,4,2018-04-11
198,391764992,耳機喇叭,4,4,2018-04-11
199,236332687,耳機喇叭,4,4,2018-04-11
200,722472914,耳機喇叭,4,4,2018-04-11
201,804022752,耳機喇叭,4,4,2018-04-11
202,376128586,耳機喇叭,4,4,2018-04-11
203,659815201,耳機喇叭,4,3,2018-04-11
204,47985376,耳機喇叭,4,4,2018-04-11
205,115122617,耳機喇叭,4,4,2018-04-11
206,906203046,耳機喇叭,4,4,2018-04-11
207,883200329,耳機喇叭,4,4,2018-04-11
208,503204122,耳機喇叭,4,3,2018-04-11
209,699122502,耳機喇叭,4,4,2018-04-11
210,856017333,耳機喇叭,4,4,2018-04-11
211,168624431,耳機喇叭,4,4,2018-04-11
212,135876263,耳機喇叭,4,4,2018-04-11
213,877727794,耳機喇叭,3,3,2018-04-11
214,200241357,耳機喇叭,3,2,2018-04-11
215,238061699,耳機喇叭,3,2,2018-04-11
216,955326979,耳機喇叭,3,3,2018-04-11
217,614797114,耳機喇叭,3,3,2018-04-11
218,991811552,耳機喇叭,3,3,2018-04-11
219,957340486,耳機喇叭,3,3,2018-04-11
220,809673972,耳機喇叭,3,3,2018-04-11
221,165691330,耳機喇叭,3,3,2018-04-11
222,176663104,耳機喇叭,3,3,2018-04-11
223,117158615,耳機喇叭,3,1,2018-04-11
224,423403983,耳機喇叭,3,2,2018-04-11
225,1726397,耳機喇叭,3,3,2018-04-11
226,971069746,耳機喇叭,3,3,2018-04-11
227,770516900,耳機喇叭,3,3,2018-04-11
228,964905694,耳機喇叭,3,3,2018-04-11
229,208567058,耳機喇叭,3,2,2018-04-11
230,19131624,耳機喇叭,3,3,2018-04-11
231,757720095,耳機喇叭,3,3,2018-04-11
232,998117188,耳機喇叭,3,3,2018-04-11
233,269659891,耳機喇叭,3,3,2018-04-11
234,145214997,耳機喇叭,3,3,2018-04-11
235,5332248,耳機喇叭,3,3,2018-04-11
236,923738105,耳機喇叭,3,2,2018-04-11
237,860309864,耳機喇叭,3,3,2018-04-11
238,3633007,耳機喇叭,3,3,2018-04-11
239,195884803,耳機喇叭,3,2,2018-04-11
