id,item_id,category_name,最大月銷量,最小月銷量,熱銷程度,update_time
199,236332687,耳機喇叭,4,4,滯銷,2018-05-14
200,722472914,耳機喇叭,4,4,滯銷,2018-05-14
201,804022752,耳機喇叭,4,4,滯銷,2018-05-14
202,376128586,耳機喇叭,4,4,滯銷,2018-05-14
203,659815201,耳機喇叭,4,3,滯銷,2018-05-14
204,47985376,耳機喇叭,4,4,滯銷,2018-05-14
205,115122617,耳機喇叭,4,4,滯銷,2018-05-14
206,906203046,耳機喇叭,4,4,滯銷,2018-05-14
207,883200329,耳機喇叭,4,4,滯銷,2018-05-14
208,503204122,耳機喇叭,4,3,滯銷,2018-05-14
209,699122502,耳機喇叭,4,4,滯銷,2018-05-14
210,856017333,耳機喇叭,4,4,滯銷,2018-05-14
211,168624431,耳機喇叭,4,4,滯銷,2018-05-14
212,135876263,耳機喇叭,4,4,滯銷,2018-05-14
213,877727794,耳機喇叭,3,3,滯銷,2018-05-14
214,200241357,耳機喇叭,3,2,滯銷,2018-05-14
215,238061699,耳機喇叭,3,2,滯銷,2018-05-14
216,955326979,耳機喇叭,3,3,滯銷,2018-05-14
217,614797114,耳機喇叭,3,3,滯銷,2018-05-14
218,991811552,耳機喇叭,3,3,滯銷,2018-05-14
219,957340486,耳機喇叭,3,3,滯銷,2018-05-14
220,809673972,耳機喇叭,3,3,滯銷,2018-05-14
221,165691330,耳機喇叭,3,3,滯銷,2018-05-14
222,176663104,耳機喇叭,3,3,滯銷,2018-05-14
223,117158615,耳機喇叭,3,1,滯銷,2018-05-14
224,423403983,耳機喇叭,3,2,滯銷,2018-05-14
225,1005765885,耳機喇叭,3,0,滯銷,2018-05-14
226,1726397,耳機喇叭,3,3,滯銷,2018-05-14
227,971069746,耳機喇叭,3,3,滯銷,2018-05-14
228,770516900,耳機喇叭,3,3,滯銷,2018-05-14
229,964905694,耳機喇叭,3,3,滯銷,2018-05-14
230,208567058,耳機喇叭,3,2,滯銷,2018-05-14
231,19131624,耳機喇叭,3,3,滯銷,2018-05-14
232,757720095,耳機喇叭,3,3,滯銷,2018-05-14
233,998117188,耳機喇叭,3,3,滯銷,2018-05-14
234,269659891,耳機喇叭,3,3,滯銷,2018-05-14
235,164896485,耳機喇叭,3,0,滯銷,2018-05-14
236,145214997,耳機喇叭,3,3,滯銷,2018-05-14
237,5332248,耳機喇叭,3,3,滯銷,2018-05-14
238,923738105,耳機喇叭,3,2,滯銷,2018-05-14
239,860309864,耳機喇叭,3,3,滯銷,2018-05-14
