item_id,product_name,item_name,item_price,item_stock
42047882,Annabon紫色_寶石_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_果凍_水鑽_手機殼_貼鑽_透明_保護套殼,55吋,350,2
42047886,Annabon愛麗絲_刺青_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_原宿_叛逆_手機殼_透明,5吋,290,2
42047886,Annabon愛麗絲_刺青_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_原宿_叛逆_手機殼_透明,55吋,290,2
8756782,威芙自創行動電源,藍色,499,20
8756782,威芙自創行動電源,綠色,499,20
42047912,Annabon旋轉木馬水鑽花珍珠zenfone2_5吋zenfone2_55吋貼鑽手機殼保護殼套透明小馬愛心白色,5吋,370,5
42047912,Annabon旋轉木馬水鑽花珍珠zenfone2_5吋zenfone2_55吋貼鑽手機殼保護殼套透明小馬愛心白色,55吋,370,5
73176026,Hello_kitty_凱蒂貓_錢包手鍊系列_矽膠造型手機殼___iPhone_5_5S_SE,紅色,69,2
15532209,Simy_z5,金色,19500,1
15532209,Simy_z5,金,19500,1
15532209,Simy_z5,金色_52吋,19500,1
42047930,Annabon長頸鹿_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_fuck_原宿_個性_叛逆_惡搞_手機殼_透明_保護套殼,5吋,290,2
42047930,Annabon長頸鹿_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_fuck_原宿_個性_叛逆_惡搞_手機殼_透明_保護套殼,55吋,290,2
390000687,手機吊繩粉色,粉紅色,100,1
42047931,Annabon珍珠玫瑰花蝴蝶結水鑽zenfone255吋5吋ze500clze551ml貼鑽手機殼保護殼套,1號,290,2
42047931,Annabon珍珠玫瑰花蝴蝶結水鑽zenfone255吋5吋ze500clze551ml貼鑽手機殼保護殼套,2號,290,2
42047931,Annabon珍珠玫瑰花蝴蝶結水鑽zenfone255吋5吋ze500clze551ml貼鑽手機殼保護殼套,3號,290,2
42047931,Annabon珍珠玫瑰花蝴蝶結水鑽zenfone255吋5吋ze500clze551ml貼鑽手機殼保護殼套,4號,290,2
42047931,Annabon珍珠玫瑰花蝴蝶結水鑽zenfone255吋5吋ze500clze551ml貼鑽手機殼保護殼套,請在訂單上備註型號喔,290,2
42047937,Annabon蝴蝶結_兔子鏡頭_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_手機殼_保護殼套_透明,紅色,290,2
42047937,Annabon蝴蝶結_兔子鏡頭_水鑽_華碩_asus_zenfone2_5吋_ze500clzenfone2_55吋_ze551ml_貼鑽_手機殼_保護殼套_透明,桃紅,290,2
826479661,隨意BOY_3C世界智慧型6孔USB直立式排插座充分流充電智慧生活支援各項快充安卓與IOS皆可使用跟雜亂掰掰,桃紅色,449,10
826479661,隨意BOY_3C世界智慧型6孔USB直立式排插座充分流充電智慧生活支援各項快充安卓與IOS皆可使用跟雜亂掰掰,白色,449,10
826479661,隨意BOY_3C世界智慧型6孔USB直立式排插座充分流充電智慧生活支援各項快充安卓與IOS皆可使用跟雜亂掰掰,黑色,449,10
