item_id,product_name,ship_name,ship_price
873042621,Sansung_J7_prime_55吋_32_G,7-11,30
873042621,Sansung_J7_prime_55吋_32_G,全家,30
391222194,華為HUAWEI_P10_Plus_P10門市展示機_福利機4G3G55吋2K20001200萬徠卡雙鏡頭,賣家宅配,999
1019284210,_螺絲起子__SONY_VarioTessar_E_1670mm_F4_ZA_OSS相機出租A39161,黑貓宅急便,90
1019284210,_螺絲起子__SONY_VarioTessar_E_1670mm_F4_ZA_OSS相機出租A39161,賣家宅配,0
1027428181,四合一三星S9_Plus62吋多功能手機殼四角防摔指環支架車載手機殼新款顏色太空銀,圓通-黑貓宅配,55
736595221,現貨_紅米NOTE4X_小米MAX2_小米A1_紅米5_紅米5PLUS_25D滿版鋼化玻璃貼___滿版保護貼,7-11,60
736595221,現貨_紅米NOTE4X_小米MAX2_小米A1_紅米5_紅米5PLUS_25D滿版鋼化玻璃貼___滿版保護貼,全家,60
736595221,現貨_紅米NOTE4X_小米MAX2_小米A1_紅米5_紅米5PLUS_25D滿版鋼化玻璃貼___滿版保護貼,萊爾富,60
987438372,CO_CO_華碩_ASUSZenFone_4_Selfie_Pro_ZD552KL_全膠滿版剛化波璃貼_9H_疏油_疏水,7-11,60
987438372,CO_CO_華碩_ASUSZenFone_4_Selfie_Pro_ZD552KL_全膠滿版剛化波璃貼_9H_疏油_疏水,全家,60
987438372,CO_CO_華碩_ASUSZenFone_4_Selfie_Pro_ZD552KL_全膠滿版剛化波璃貼_9H_疏油_疏水,中華郵政,100
987438372,CO_CO_華碩_ASUSZenFone_4_Selfie_Pro_ZD552KL_全膠滿版剛化波璃貼_9H_疏油_疏水,賣家宅配,120
72195788,紅米Noet4專用手機殼防摔抗震保護套軟殼,7-11,60
852872314,Lileng二代雙拉式腰包肩包_男女通用_跑步腰包_防水防盜運動臂套運動腰包_手機通用5吋_另有運動臂套,黑貓宅急便,90
852872314,Lileng二代雙拉式腰包肩包_男女通用_跑步腰包_防水防盜運動臂套運動腰包_手機通用5吋_另有運動臂套,7-11,60
852872314,Lileng二代雙拉式腰包肩包_男女通用_跑步腰包_防水防盜運動臂套運動腰包_手機通用5吋_另有運動臂套,全家,60
852872314,Lileng二代雙拉式腰包肩包_男女通用_跑步腰包_防水防盜運動臂套運動腰包_手機通用5吋_另有運動臂套,萊爾富,60
852872314,Lileng二代雙拉式腰包肩包_男女通用_跑步腰包_防水防盜運動臂套運動腰包_手機通用5吋_另有運動臂套,中華郵政,90
852872314,Lileng二代雙拉式腰包肩包_男女通用_跑步腰包_防水防盜運動臂套運動腰包_手機通用5吋_另有運動臂套,賣家宅配,100
934107701,OPPO_A57_3G32G_52吋八核心4G_LTE智慧型手機,中華郵政,65
934107701,OPPO_A57_3G32G_52吋八核心4G_LTE智慧型手機,賣家宅配,65
1013693142,3D全透明玻璃DIY價_三星_S8_滿版_9H玻璃貼_無彩虹紋_無網點_可製作全膠玻璃,7-11,30
1013693142,3D全透明玻璃DIY價_三星_S8_滿版_9H玻璃貼_無彩虹紋_無網點_可製作全膠玻璃,全家,30
1013693142,3D全透明玻璃DIY價_三星_S8_滿版_9H玻璃貼_無彩虹紋_無網點_可製作全膠玻璃,萊爾富,30
1013693142,3D全透明玻璃DIY價_三星_S8_滿版_9H玻璃貼_無彩虹紋_無網點_可製作全膠玻璃,中華郵政,50
1013693142,3D全透明玻璃DIY價_三星_S8_滿版_9H玻璃貼_無彩虹紋_無網點_可製作全膠玻璃,賣家宅配,50
896973000,快速充電編織線Micro_USB_20數據同步電纜4色_安卓充電傳輸線,圓通-黑貓宅配,55
896973000,快速充電編織線Micro_USB_20數據同步電纜4色_安卓充電傳輸線,圓通-711超取,55
1003252873,售Samsung_S7_edge_配備充電耳機線材新品加贈全新硬膜需自己貼本人技術不好降800,7-11,0
526387659,iPhone6_6s_TPU_超薄_軟_透明保護清水套_時尚款_透明軟殼_保護殼_手機套,7-11,60
526387659,iPhone6_6s_TPU_超薄_軟_透明保護清水套_時尚款_透明軟殼_保護殼_手機套,全家,60
526387659,iPhone6_6s_TPU_超薄_軟_透明保護清水套_時尚款_透明軟殼_保護殼_手機套,賣家宅配,100
1033677816,SALE維泡__touch6保護套itouch6保護殼touch5手機外殼硬硅膠ipod,黑貓宅急便,90
1033677816,SALE維泡__touch6保護套itouch6保護殼touch5手機外殼硬硅膠ipod,7-11,30
1033677816,SALE維泡__touch6保護套itouch6保護殼touch5手機外殼硬硅膠ipod,全家,30
1033677816,SALE維泡__touch6保護套itouch6保護殼touch5手機外殼硬硅膠ipod,萊爾富,30
1031935519,圖拉斯iPhone6P手機殼iPhone6sPlus硬殼磨砂sp全包超薄iP黑色女款男,圓通-黑貓宅配,30
1031935519,圖拉斯iPhone6P手機殼iPhone6sPlus硬殼磨砂sp全包超薄iP黑色女款男,圓通-711超取,30
745161472,現貨_ASUS_ZENFONE_4_ZE554KL_55吋_64G_黑白綠_現貨供應_高雄面交,黑貓宅急便,90
745161472,現貨_ASUS_ZENFONE_4_ZE554KL_55吋_64G_黑白綠_現貨供應_高雄面交,7-11,30
745161472,現貨_ASUS_ZENFONE_4_ZE554KL_55吋_64G_黑白綠_現貨供應_高雄面交,萊爾富,30
930985142,SONY_Xperia_X_Compact_冰晶隱扣側翻皮套_典藏星光側翻支架皮套_可站立_可插卡_站立皮套_側翻皮套,7-11,60
930985142,SONY_Xperia_X_Compact_冰晶隱扣側翻皮套_典藏星光側翻支架皮套_可站立_可插卡_站立皮套_側翻皮套,全家,60
930985142,SONY_Xperia_X_Compact_冰晶隱扣側翻皮套_典藏星光側翻支架皮套_可站立_可插卡_站立皮套_側翻皮套,萊爾富,60
930985142,SONY_Xperia_X_Compact_冰晶隱扣側翻皮套_典藏星光側翻支架皮套_可站立_可插卡_站立皮套_側翻皮套,中華郵政,80
1028802755,ET手機倉庫館全新現貨BenQ_T55_現貨4G_55吋1300萬畫素四核心處理器1年保固含發票,黑貓宅急便,90
1028802755,ET手機倉庫館全新現貨BenQ_T55_現貨4G_55吋1300萬畫素四核心處理器1年保固含發票,7-11,30
1028802755,ET手機倉庫館全新現貨BenQ_T55_現貨4G_55吋1300萬畫素四核心處理器1年保固含發票,全家,30
1028802755,ET手機倉庫館全新現貨BenQ_T55_現貨4G_55吋1300萬畫素四核心處理器1年保固含發票,萊爾富,30
1028802755,ET手機倉庫館全新現貨BenQ_T55_現貨4G_55吋1300萬畫素四核心處理器1年保固含發票,賣家宅配,120
482272990,華碩_ZenFone4_Selfie_Pro__ZD552KL_滿版滿膠鋼化玻璃_疏油防爆硬度9H金剛鋼化玻璃,黑貓宅急便,90
482272990,華碩_ZenFone4_Selfie_Pro__ZD552KL_滿版滿膠鋼化玻璃_疏油防爆硬度9H金剛鋼化玻璃,7-11,60
482272990,華碩_ZenFone4_Selfie_Pro__ZD552KL_滿版滿膠鋼化玻璃_疏油防爆硬度9H金剛鋼化玻璃,全家,60
482272990,華碩_ZenFone4_Selfie_Pro__ZD552KL_滿版滿膠鋼化玻璃_疏油防爆硬度9H金剛鋼化玻璃,萊爾富,60
482272990,華碩_ZenFone4_Selfie_Pro__ZD552KL_滿版滿膠鋼化玻璃_疏油防爆硬度9H金剛鋼化玻璃,賣家宅配,50
975157280,少女時代_PVC串卡8片串掛件手機鏈吊卡掛卡掛飾周邊_現貨,圓通-黑貓宅配,55
975157280,少女時代_PVC串卡8片串掛件手機鏈吊卡掛卡掛飾周邊_現貨,圓通-711超取,55
975157280,少女時代_PVC串卡8片串掛件手機鏈吊卡掛卡掛飾周邊_現貨,S.F. Express（大陸至台灣),145
892039720,女王通訊Apple_IPAD_PRO_64G_WIFI版_攜碼_中華電信大七喜月租77730,賣家宅配,99999
1016171744,倍思Baseus_TypeC傳輸線_知己防爆數據線_不斷頭_耐用編織_快充_抗纏繞_1m15m安卓_充電線,圓通-黑貓宅配,55
1016171744,倍思Baseus_TypeC傳輸線_知己防爆數據線_不斷頭_耐用編織_快充_抗纏繞_1m15m安卓_充電線,圓通-711超取,55
889812283,iPhone_7_32G消光黑價格可談,7-11,0
889812283,iPhone_7_32G消光黑價格可談,全家,30
851161513,台南PQS卡娜赫拉友達日常_12000_Plus_輕薄時尚行動電源_金屬霧面質感_友達日常,7-11,30
851161513,台南PQS卡娜赫拉友達日常_12000_Plus_輕薄時尚行動電源_金屬霧面質感_友達日常,全家,30
851161513,台南PQS卡娜赫拉友達日常_12000_Plus_輕薄時尚行動電源_金屬霧面質感_友達日常,萊爾富,30
851161513,台南PQS卡娜赫拉友達日常_12000_Plus_輕薄時尚行動電源_金屬霧面質感_友達日常,賣家宅配,70
1032636170,iphone_手機殼_防摔防掉保護殼手機殼iphone6指環扣手機殼電鍍蘋果7_plus水鉆kt貓支架5s毛球8x硅膠套,圓通-黑貓宅配,30
1032636170,iphone_手機殼_防摔防掉保護殼手機殼iphone6指環扣手機殼電鍍蘋果7_plus水鉆kt貓支架5s毛球8x硅膠套,圓通-711超取,30
1032636170,iphone_手機殼_防摔防掉保護殼手機殼iphone6指環扣手機殼電鍍蘋果7_plus水鉆kt貓支架5s毛球8x硅膠套,S.F. Express（大陸至台灣),145
137199355,正版_神偷奶爸_小小兵_手機殼_空壓殼_軟殼_有吊繩孔_保護殼_Sony_Xperia_XZ__XZs,7-11,30
137199355,正版_神偷奶爸_小小兵_手機殼_空壓殼_軟殼_有吊繩孔_保護殼_Sony_Xperia_XZ__XZs,全家,30
137199355,正版_神偷奶爸_小小兵_手機殼_空壓殼_軟殼_有吊繩孔_保護殼_Sony_Xperia_XZ__XZs,萊爾富,30
180686271,WH_SONY_Z3_鋼化玻璃保護貼_9H_鋼化玻璃_手機保護_防刮_防摔,7-11,60
180686271,WH_SONY_Z3_鋼化玻璃保護貼_9H_鋼化玻璃_手機保護_防刮_防摔,全家,60
